Arica y Parinacota;;;;
Bibliotecas filiales;4867;747;20;36
Puntos de préstamo;0;1;0;0
Bibliomóviles;1847;100;23;1
"Biblioteca Regional deAysén";19163;4028;122;9
"Bibliotecas en centrosde justicia juvenil ypenitenciarios";511;91;0;0
Total;32458;6921;289;276
;;;;
Magallanes;;;;
Servicio;Préstamos;Personas socias activas;Actividades de fomento lector;Actividades de extensión cultural
Bibliotecas públicas;10293;2487;178;174
Puntos de préstamo;71;40;1;2
"Bibliotecas en centrospenitenciarios";669;293;0;0
Total;11033;2820;179;176
