Regiones,Bibliotecas del SNBP
Región de Arica y Parinacota,7
Región de Tarapacá,7
Región de Antofagasta,12
Región de Atacama,11
Región de Coquimbo,21
Región de Valparaíso,36
Región Metropolitana de Santiago,89
Región del Libertador Bernardo O'Higgins,30
Región del Maule,29
Región de Ñuble,24
Región del Bío-Bío,28
Región de La Araucanía,51
Región de Los Ríos,16
Región de Los Lagos,32
Región de Aysén del Gral.Ibañez del Campo,21
Región de Magallanes y Antártica Chilena,7
